DEPOSITOR,DEPOSIT_ID,DEPOSIT_STATE,DOI,DEPOSIT_CREATION_TIMESTAMP,DEPOSIT_UPDATE_TIMESTAMP,DESCRIPTION
mendeleydata,7d70e521-9418-4b50-89bc-786bebcf0f95,ARCHIVED,10.17632/djxfhhxnx3.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74845
mendeleydata,7ea57e6a-1eeb-4617-9139-49580bfe65c1,ARCHIVED,10.17632/6jhzz5fzv4.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74966
mendeleydata,83390509-af21-485c-93e4-43fb9d447df3,ARCHIVED,10.17632/x9wkrghz23.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74887
mendeleydata,8395a4fe-0ee0-4387-a2b4-a0d4732d5a8e,ARCHIVED,10.17632/997b2k6mwc.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74982
mendeleydata,8537da03-b648-4ef9-ad75-d005092f0af7,ARCHIVED,10.17632/jxhsg8tj7g.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74905
mendeleydata,8aa42413-ff99-4b36-b916-577558cce4b9,ARCHIVED,10.17632/ndx9zddmf6.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74897
mendeleydata,8b819fc4-d5f4-409b-98d3-34a41b9aca0b,ARCHIVED,10.17632/6kprpvv7r7.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74902
mendeleydata,8eb639c8-58c1-4e13-ae1f-abb90e650fd3,ARCHIVED,10.17632/w4ydj6kfgm.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74906
mendeleydata,8f07af39-c0d9-4749-a0de-455fbcf1b710,ARCHIVED,10.17632/tt6rszptmv.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74886
mendeleydata,8f5d6b41-18bb-4c89-81ac-9cc82c36ea6b,ARCHIVED,10.17632/f6j7s6kg72.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74943
mendeleydata,900cff18-b41b-41c7-8863-c5fbc4269694,ARCHIVED,10.17632/jb72k856zw.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74955
mendeleydata,9028ff8a-64f0-4bb6-959d-5066d48e6a69,ARCHIVED,10.17632/v5hf63zxk2.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74993
mendeleydata,9625fd32-685e-4dc6-862b-0f3c9e9eeddf,ARCHIVED,10.17632/wxkzw44bd3.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74922
mendeleydata,96de773a-33a2-4101-829b-d982fe533a4d,ARCHIVED,10.17632/v39zcgy5kb.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74930
mendeleydata,9c08dd7a-1885-45ca-9387-e9d8297bbd91,ARCHIVED,10.17632/j6sdxytt46.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74896
mendeleydata,9c66d924-2729-4194-8803-822087163ef0,ARCHIVED,10.17632/4jhkzyvxgj.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74945
mendeleydata,9dee3a08-dbd0-4b0a-9cab-723b1d716586,ARCHIVED,10.17632/rztfg3224r.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74952
mendeleydata,9e0068dc-d672-4926-ae53-90d7aaf68575,ARCHIVED,10.17632/wv7x42cwwc.1,unknown,10/24/2017 16:31:31,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74987
mendeleydata,9ed3fb18-61a2-4348-8285-1f71a3d45e0d,ARCHIVED,10.17632/bj4ggp8b65.1,unknown,10/24/2017 16:31:31,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74924
